,ambition_grassland,ambition_organic,ambition_peatland_lo,ambition_peatland_up,ambition_silvoa,ambition_silvop,ambition_woodland,ambition_woodpa,gwp_rel,food_rel,birds_rel
3040,0.00015180514053088424,0.4627775869768195,0.9975994864794188,0.7855637213632134,0.00038531274778684423,0.009675691755557572,0.5275062241971492,0.0005846133734776771,-0.9911059737205505,0.5450878143310547,1.187278151512146
3041,0.0007761356952584601,0.07822708467964803,0.9995412921983272,0.4027268499056696,0.0033620404936034586,0.0056405485642452985,0.48442749079333813,0.04627703351227745,-0.7795339226722717,0.6990501284599304,1.1598225831985474
3042,0.00014078628709097442,0.0009568196503316937,0.759667937232828,0.6697809123289185,0.0004513972612522313,0.005240801529267372,0.123335370564753,0.5909151104054854,0.053003959357738495,0.9199967384338379,1.0625475645065308
3043,0.0005987712208514366,0.0011910239145536748,0.9115410989199186,0.9247488161758514,0.0004073533079256372,0.010112678700064326,0.11978119899891555,0.29502782553094303,0.23849710822105408,0.9132387042045593,1.072964072227478
3044,0.005538930147981621,0.3326586459564896,0.9967576010767634,0.6284225226082817,0.0001306077233118254,0.0014033230340050884,0.514379398137476,0.00886983610928791,-0.9174779057502747,0.6098641157150269,1.1770563125610352
3045,0.00017448720350832139,0.013990751894849086,0.99898713631961,0.4131918205515649,0.004190827094010188,0.00899023558920949,0.43320920453040457,0.15543578865867355,-0.6768668293952942,0.7469319701194763,1.14976966381073
3046,0.01683742371168065,0.1229439739390853,0.9978260869035366,0.5765464517333583,9.367469304250595e-05,0.03811202630905696,0.5142194521574199,0.05633766900988247,-0.9323219060897827,0.6603147387504578,1.165458083152771
3047,0.0008583279041651884,0.005654116533147124,0.9957978190802594,0.6716664327711837,0.0009306803890632301,0.005122354876690154,0.21215564227659978,0.613237280238038,-0.33033981919288635,0.8713662028312683,1.099545955657959
3048,0.0003304562573305772,0.000594027628601652,0.6936639503021358,0.7655498339027246,4.908747464757641e-05,0.005844421237971652,0.09904635616180862,0.2084544107902474,0.44952961802482605,0.9322548508644104,1.0519479513168335
3049,0.028373435287486898,0.010516648341575598,0.9983947932041266,0.6459724367428293,8.1490501856908e-06,0.01362187261281983,0.4786553868070095,0.06448073869148818,-0.805277407169342,0.7025465369224548,1.1584782600402832
