scenario,ambition_grassland,ambition_organic,ambition_peatland_lo,ambition_peatland_up,ambition_silvoa,ambition_silvop,ambition_woodland,ambition_woodpa,gwp_rel,food_rel,birds_rel
15,0.12371067237905788,0.04557189520719902,0.22338938806205988,0.4194565436337143,0.01839779347689016,0.7259226898466963,0.01934566198994951,0.17646095223412242,0.530950058448334,0.9161318489190258,1.0223640208789002
16,0.016409106136270477,0.23849087825694126,0.9209441740531474,0.9416399972978979,0.08420348927804142,0.025160361745987486,0.29426163417761164,0.41685630732329215,-0.5147936886735718,0.7523929923960911,1.118440392476964
17,0.1275574196013095,0.5323946122536302,0.25146172079257667,0.6934344775509089,0.12962681956817432,0.32188813492469104,0.35072816508872334,0.3026235099926844,-0.7353998214197318,0.5114417131336719,1.1025109794408245
18,0.023766155358081145,0.03670169847439825,0.8304638203699142,0.3765252239536494,0.22913517961113766,0.25234849446994834,0.63023952772275,0.10314267955064532,-1.373480328943956,0.5169464701807451,1.1252349021696144
19,0.0054892958590015365,0.2750582653463184,0.608157365815714,0.6020976172294468,0.18834057949544622,0.23759918176627381,0.03326149109054883,0.1048111782607377,0.5793741772058711,0.8919010327441583,1.0378935763405501
20,0.0036307840473161607,0.39313404679010083,0.43135086726397276,0.8730187001638114,0.08025589280830055,0.09793982682145379,0.058367705675380153,0.18893221461358692,0.5290957239236942,0.8845412830946107,1.034302364182884
21,0.2108129028869013,0.04749242262623065,0.15308962669223547,0.13399730669334528,3.3485227941584323e-4,0.12206443981267177,0.009276874183553382,0.14621483968500246,0.724940302638808,0.8807778831031685,1.0118368901387405
22,0.17956854646181283,0.014418186424179143,0.5855629574507475,0.5161582271102815,0.004010871976766028,0.02778914290293926,0.42133964168338367,0.42108628152677335,-0.8809892186405197,0.6166872135286088,1.1110161228965085
23,0.018742442249999748,0.6426503963263892,0.0344253710936755,0.15685088257305324,0.15890837205250835,0.34786740802967037,0.2963587557233829,0.27850440526730036,-0.378667879853946,0.6134751085981112,1.0802445720902925
24,0.07863168002882007,0.33667554444799275,0.32988994056358933,0.7877469076775014,0.29770217932836357,0.10332532188836124,0.20024246065441798,0.136074015519092,0.040504781492120105,0.7878532790621937,1.0621877440036425
25,0.7778461897483683,0.05431136542103085,0.2521338874939829,0.289531180402264,0.04340830999043041,0.05349501532201892,0.024207286086777045,0.321388293924733,0.0592772750008022,0.17972356059472125,0.9682837120420107
26,0.07177288835372864,0.01927059658041817,0.29739782284013927,0.2857670611701906,0.4076104047180614,0.7458441075802775,0.03982764004868005,0.10057879915932391,0.4913112553140637,0.8491207649015275,1.0150434224057547
27,0.28068518972818507,0.17183890803696933,0.4763573850505054,0.7319500900339335,0.45051098941941026,0.14535357046926975,0.28940942250025165,0.48272997051427535,-0.7425892531281958,0.4164051358854308,1.050094299719329
28,0.33604986597857883,0.25194050814391145,0.2563578551635146,0.06213842472061515,0.41641641189840845,0.11480755735311891,0.09901216316293543,0.004744003523922696,0.32483526979504795,0.6770823862651859,1.038601388097504
29,0.4149205604567064,0.07397094881361194,0.8106152818072587,0.10634472384117544,0.14136054330965772,0.050064262187210565,0.6355924998080962,0.04386698907495831,-1.5316782467939847,0.13547025203236718,1.1057634522760826
30,0.5775118393931897,0.1385477010524182,0.46937512094154954,0.6011986981611699,0.2646772667467367,0.051724420835439364,2.929178512936719e-5,0.07950484922255445,0.409036490436833,0.5180686124914271,1.0082118482322315
31,0.46868794581929385,0.27342661534953605,0.6058477361220866,0.07069795951247215,0.2002980744482296,0.02087603979825084,0.3764347087043778,0.05045092762846895,-0.6812461239864073,0.28656566026650526,1.1113674590103053
32,0.09874586377994485,0.010949921547826202,0.23338364926166832,0.669695254880935,0.18505884661419206,0.2794659864943706,0.27448260461424207,0.24208999873417195,-0.2601955560991466,0.7830411701575213,1.0617380477131964
33,0.4880149304533104,0.10225779624733851,0.4921894557774067,0.7855857203248888,0.20711753503414548,0.00603357182115864,0.059309186682290634,0.11952263124962688,0.2947433426875989,0.5841935146861914,1.0292294966199886
34,0.1652034285356794,0.1883763831390637,0.6071742444764823,0.12289257114753127,0.03455797943140308,0.08406797598801936,0.8384145512293493,0.033866611017047375,-1.9737016665739964,0.23557700067978699,1.1381923720276967
35,0.4334698111110706,0.25809450948577284,0.2998100237455219,0.5263607162050904,0.07563565501688777,0.12028849861681451,0.047063903228349656,0.763951710838557,-0.2061872541582951,0.2786855781672416,1.0169166623899684
36,0.11702925611489823,0.14834873370224397,0.668649343540892,0.4886297271586956,0.006167286484713841,0.010804562291281824,0.031098804600672048,0.4581840857942403,0.38836389453894266,0.8368772417648915,1.0455797710475785
37,0.33716200157942855,0.1956350547147515,0.07936859503388405,0.5840483468491584,0.750766053266075,0.3382785887995906,0.10243334319938865,0.18275497134384516,-0.015172139009524618,0.5591156805653543,0.999900470798065
38,0.13248777369633824,0.5512825785604871,0.4103160514496267,0.9126877428498119,0.5163565611993052,0.08847188323640118,0.23380775286599206,0.015655047441160967,-0.12529835276812262,0.6894372720146507,1.0754905090404185
39,0.1299701285663117,0.47770212084292096,0.03332780068740249,0.7095956192351878,0.06643744350127055,0.05598707738858675,0.3067702501482731,0.3632738440451806,-0.4951452195755338,0.5721213508017489,1.0884976095018573
40,0.12625078854624214,0.048119751856881596,0.27471168735064566,0.6293040073942393,0.14696875530845557,0.027864647632076234,0.006877415911516668,0.23891093742826416,0.6660238996311701,0.8820943168732968,1.0096385648211015
41,0.008922750118962297,0.06947917227479534,0.43710457161068916,0.4581236739177257,0.2642328195403807,0.11749775093693794,0.018785868726635443,0.22405091507023817,0.658015207588406,0.891457214844146,1.0142807250850312
42,0.2029569477147925,0.10501587570978382,0.6206256276927888,0.23647475638426838,0.09212318833253423,0.030387034223215554,0.2793031854050192,0.0985854273397724,-0.17099353921472407,0.7289124423811392,1.1025535328192315
43,0.3343986682372136,0.24572984516479215,0.7747034362982959,0.6401093401946127,0.21169835347486265,0.09273664757237952,0.1426902200341465,0.29441166210523617,-0.12753142680642243,0.5612466821099165,1.0771256729698995
